Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,C,23,TOR,43,11,959,5.9,12.3,0.477,0.8,3,0.259,5.1,9.2,0.549,2.8,4.1,0.694,3,7,10.1,1.6,1,1,1.9,3.3,15.3
2,Steven Adams,C,29,MEM,42,42,1133,5,8.4,0.597,0,0,0,5,8.3,0.599,1.5,4.1,0.364,6.8,8.6,15.4,3.1,1.1,1.5,2.5,3.1,11.5
3,Bam Adebayo,C,25,MIA,62,62,2166,8.6,15.9,0.542,0,0.2,0.083,8.6,15.7,0.548,4.6,5.7,0.808,2.6,7.2,9.8,3.3,1.2,0.9,2.6,2.9,21.8
4,Ochai Agbaji,SG,22,UTA,44,7,745,4.3,9.6,0.447,2.3,6.1,0.37,2,3.5,0.583,1,1.4,0.724,1.3,2.4,3.7,1.4,0.5,0.3,1,3.3,11.9
5,Santi Aldama,PF,22,MEM,62,18,1367,5.4,11.4,0.475,2.2,6,0.366,3.2,5.5,0.594,2.2,3,0.719,1.6,5.9,7.5,1.9,1,1.1,1.2,3.2,15.2
6,Nickeil Alexander-Walker,SG,24,TOT,44,3,661,5.7,12,0.473,2.6,6.2,0.421,3,5.8,0.528,1.7,2.5,0.674,0.6,3.5,4.1,4.8,1.5,1,2.7,3.8,15.6
6,Nickeil Alexander-Walker,SG,24,UTA,36,3,528,5.7,11.6,0.488,2.4,5.9,0.402,3.3,5.7,0.578,1.8,2.7,0.692,0.5,3.5,4,5.2,1.6,1,3.1,4,15.5
6,Nickeil Alexander-Walker,SG,24,MIN,8,0,133,5.7,13.5,0.42,3.5,7.3,0.481,2.2,6.2,0.348,1.1,1.9,0.571,0.8,3.5,4.3,3.2,0.8,1.1,1.1,3,16
7,Grayson Allen,SG,27,MIL,62,60,1724,4.5,10.1,0.447,2.7,6.6,0.41,1.8,3.6,0.515,2.2,2.4,0.904,1.2,3.2,4.3,3.1,1.1,0.2,1.3,2.2,13.9
8,Jarrett Allen,C,24,CLE,61,61,2013,6.6,10.1,0.651,0,0.2,0.111,6.6,10,0.659,2.6,3.6,0.725,3.4,7.3,10.6,1.8,0.9,1.3,1.5,2.5,15.8
